Algus,Lõpp,Sugu,Vanus,Haridus,Emakeel,Tööstaatus:Töötan,Tööala,KaemusParticipant
2021-10-28 10:13:11,2021-10-28 11:52:45,Naine,60,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,1_002
2021-11-10 20:41:04,2021-11-10 22:35:15,Naine,57,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,6_002
2021-11-12 13:55:26,NA,Naine,63,Magister või sellega võrdsustatud haridus,Eesti keel,1,prokurör,7_002
2021-11-12 20:08:48,NA,Naine,46,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,8_002
2021-11-15 08:12:49,2021-11-15 09:22:04,Naine,45,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,9_002
2021-11-15 10:38:35,2021-11-15 12:30:31,Naine,68,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,10_002
2021-11-16 15:45:34,NA,Naine,29,Magister või sellega võrdsustatud haridus,Eesti keel,1,prokurör,11_002
2021-11-18 09:55:41,2021-11-18 11:22:47,Naine,35,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,12_002
2021-11-19 16:22:47,2021-11-19 18:55:05,Naine,38,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,13_002
2021-11-19 19:12:15,2021-11-19 20:44:02,Naine,44,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,14_002
2021-11-23 17:48:14,2021-11-23 19:56:45,Naine,42,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,15_002
2021-11-27 13:57:11,NA,Naine,54,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,16_002
2021-11-29 11:50:53,2021-11-29 16:58:18,Naine,56,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,17_002
2021-12-01 18:10:53,NA,Naine,47,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,19_002
2021-12-09 15:42:00,2021-12-09 17:39:36,Naine,45,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,20_002
2021-12-09 21:41:56,NA,Naine,46,Magister või sellega võrdsustatud haridus,Eesti keel,1,kohtunik,21_002
2022-09-22 11:01:27,2022-09-22 12:34:48,Naine,33,Magister või sellega võrdsustatud haridus,Eesti keel,1,muu meditsiinitöötaja,25_002
2022-09-23 16:24:47,2022-09-23 19:06:41,Naine,43,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",Vene keel,1,õppejõud,26_002
2022-09-23 16:25:55,2022-09-23 21:15:27,Naine,37,Magister või sellega võrdsustatud haridus,Vene keel,1,õpetaja,27_002
2022-09-24 06:34:19,NA,Naine,35,Magister või sellega võrdsustatud haridus,Vene keel,1,õppejõud,28_002
2022-09-24 18:52:54,2022-09-24 21:33:43,Naine,35,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",Vene keel,1,juht,29_002
2022-10-11 08:41:43,2022-10-12 12:41:38,Naine,37,"Bakalaureus, rakenduskõrgharidus või sellega võrdsustatud haridus",Vene keel,1,"palun täpsusta (näiteks müüja, lasteaiaõpetaja, perearst, taksojuht, teadlane) või lisa enda töövaldkond, kui seda ei esine loetelus: tarneahela planeerija",33_002
2022-11-03 15:42:57,2022-11-03 17:11:29,Naine,43,Doktor või sellega võrdsustatud haridus,Eesti keel,1,psühhiaater,36_002
